Cell	Cbfa2t3h	Cdh1	Cdh5	Egfl7	Eif2b1	Erg	Ets1	Ets2	Etv2	Etv6	Fli1	FoxH1	FoxO4	Gata1	Gfi1	Gfi1b	HbbbH1	Hhex	HoxB2	HoxB4	HoxD8	Ikaros	Itga2b	Kdr	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mrpl19	Myb	Nfe2	Notch1	Pecam1	Polr2a	Procr	Runx1	Sfpi1	Sox17	Sox7	Tal1	Tbx20	Tbx3	Ubc
HFB10_003	-14	-0,672355445	-0,012022145	-2,544627815	-0,661662865	-14	-6,056706945	-0,047699315	-0,596840185	-2,181538135	1,548412605	-1,431505715	-2,262046115	-14	-14	-14	-14	-0,457667205	-14	-1,964656705	-14	-14	-14	2,698125025	0,781684665	-0,724338065	-14	-3,727225125	-14	-14	-6,314594955	-1,233434885	-14	-14	-5,741087565	-1,824666875	-1,155119665	-14	-7,932389075	-14	-3,020665735	-1,795000945	-0,543836715	-8,221794645	-2,366119095	3,050217415
HFB10_004	-4,774043543	-14	2,349204528	-1,280941603	0,220109528	-2,800107903	-2,132103733	0,761284898	-3,615287323	-3,660097283	2,371060138	-0,092714473	-1,079146243	-14	-14	-3,756970773	-14	-2,118385703	-14	-3,354291563	-14	-4,345073533	-5,332632483	0,558200948	-1,534472133	-1,744921933	-3,233837943	-0,623996983	-14	-2,045785633	-6,494021633	-1,467161353	-3,500872293	-14	-7,281757133	-1,445302623	-0,760220332	-14	-2,126991443	-14	-4,532991733	-1,204655553	0,644328288	-7,665012533	-14	2,007272158
HFB10_005	-4,819120188	-14	3,487186253	-1,869443408	0,103782363	-2,646129698	-2,446963878	2,396701953	-4,739313128	-2,622903478	1,505843363	-0,661319838	-0,438535428	-4,569386498	-14	-1,175922858	-14	-2,564913908	-14	-14	-14	-4,044066688	-3,146548458	0,457786483	-1,186146278	-1,658642788	-8,935243348	0,029903842	-14	-1,510253778	-14	-1,449531058	-0,221979257	-6,013745618	-6,776750508	-0,496403898	-1,033712918	-2,644726208	-0,231142028	-4,686099348	-14	-5,195458198	-0,245439577	-14	-14	2,379461613
HFB10_006	-3,606853273	-14	3,444952518	-0,080816932	0,061905357	-3,283424813	-1,670968933	1,404833808	-3,641435333	-1,747522963	2,789238418	0,551103407	-0,726713733	-14	-5,404367353	-4,710576713	-3,578362603	-3,596041263	-14	-1,340958143	-14	-14	-3,448831683	1,341023548	-1,177407143	-1,432924343	-4,234896873	-1,496986903	-3,006998093	-1,456674053	-14	-2,094523933	-2,585905473	-14	-4,958397113	-0,149187273	-0,763402373	-14	-2,198357113	-4,195969843	-4,337077343	-1,767590423	-0,484074362	-14	-5,564597743	2,796020948
HFB10_007	-3,020428183	-14	-0,869014573	-1,786187013	-0,019915132	-3,339281533	-3,806969563	-0,425099472	1,407256278	-1,305918833	2,297684028	0,642367728	-2,848562383	-14	-14	-14	-14	-1,532751003	-14	-14	-14	-14	-3,963703393	1,800778478	-4,159416733	-2,388485513	-5,913371833	-14	-14	-1,108190983	-14	-0,969618102	-14	-14	-4,828514453	-1,161514753	-1,637638023	-4,665392513	-4,687930083	-14	-2,330610233	-0,611447153	0,131352318	-9,225135943	-3,166801133	2,627171258
HFB10_008	-2,81244152	-14	4,43473461	-0,47036091	-0,36805161	-1,88214192	-1,18320073	2,44392555	-0,7460397	-2,48720333	4,05640204	-0,89781011	-1,90061288	-14	-14	-14	-14	-2,20147724	-14	-2,56835784	-14	-14	-2,17737073	2,31793681	-0,2591206	-1,61658151	-4,68199891	0,16724935	-14	-0,67660886	-14	-1,22477294	-14	-14	-4,36827426	0,24163195	-1,01930862	-4,60694016	-3,25373415	-5,18879072	-2,323125	-1,46559779	-0,69513177	-8,84756972	-14	2,61213317
HFB10_009	-3,053678313	-14	1,368196918	-0,634775762	-0,316491893	-14	-2,197294983	-0,330200743	-0,062153783	-1,238887883	3,275734278	0,219614077	-1,265843553	-14	-14	-14	-14	-0,994335463	-14	-14	-14	-3,740303663	-14	2,592269638	-2,894571263	-1,662682053	-4,914644283	-14	-2,229231203	-1,775598203	-7,095348193	-2,405214833	-14	-14	-5,025675173	-1,740922263	0,040512267	-14	-3,570741093	-4,328003893	-2,527097733	-0,341306062	1,045283438	-4,976483803	-14	2,681194458
HFB10_010	-3,056050475	-14	1,214777815	-0,633573935	-0,416764945	-2,591416495	-2,800882505	1,109104815	0,584865515	-1,948455225	3,125006135	0,108476725	-1,320612965	-14	-14	-3,471356565	-14	-1,728431365	-14	-3,976907795	-14	-14	-3,904573585	2,813755675	-1,954882135	-2,374436305	-5,051166945	-1,619603915	-4,892370555	-0,446620415	-14	-1,252382405	-14	-14	-4,937171215	-2,131505725	-0,792333895	-4,229192735	-5,563837685	-3,428814365	-3,383554705	-1,100808445	1,773451095	-4,914604865	-14	2,461481245
HFB10_011	-4,395943265	-5,126275775	0,059401695	-0,092143565	-0,390099185	-3,791854765	-2,218871185	0,028745525	-0,351912535	-2,551564795	2,406543125	0,565939055	0,310861985	-14	-14	-14	-2,929443785	-2,688939155	-14	-2,254799025	-14	-14	-3,722517785	2,098025625	-2,484436105	-3,242148675	-14	-14	-14	-1,003453545	-14	-1,058462655	-3,325182105	-14	-2,858294355	-2,068932625	-0,448210525	-14	-4,867226745	-14	-2,625819815	-1,637163315	0,000374665	-5,555802325	-4,345207715	1,896772365
HFB10_013	-2,971535005	-14	3,446291275	0,655017855	0,706766995	-2,307724335	-0,520347805	1,437300555	-1,459478355	-1,754173675	3,361471995	0,716293595	-0,574070495	-14	-14	-14	-3,163138065	-2,095313615	-14	-3,644478865	-14	-1,507112815	-2,747693495	1,192524935	-0,846005105	-0,180365405	-14	0,393472815	-14	0,539147495	-14	-4,142692215	-14	-14	-5,158313995	-0,191049465	0,125287395	-14	-1,559158845	-14	-14	-1,875857305	0,490194525	-3,734915285	-4,490801475	3,310637825
